caption,filepath
"Cystechinus giganteus exhibits a pale, rounded shape on a sandy seafloor, surrounded by fine silt and scattered organic debris.",src/data/Fathomnet-by-Phylum-2/train/images/0064284a-99a0-4ad2-b607-828fe49e4b39_png.rf.a2aa864fded0e39a4330cfba4e1e37bf.jpg
"Cystechinus giganteus exhibits a pale, rounded shape on a sandy seafloor, surrounded by fine silt and scattered organic debris.",src/data/Fathomnet-by-Phylum-2/train/images/0064284a-99a0-4ad2-b607-828fe49e4b39_png.rf.b6151838193f19125b29d94653f9297c.jpg
"Cystechinus giganteus exhibits a pale, rounded shape on a sandy seafloor, surrounded by fine silt and scattered organic debris.",src/data/Fathomnet-by-Phylum-2/train/images/0064284a-99a0-4ad2-b607-828fe49e4b39_png.rf.be5a19e9807639e8e6a09722aafd3973.jpg
"On a rugged basalt rock, a single Antimora microlepis displays a dark, elongated body against the textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/0119ae5f-0b36-48c1-875a-bb37907cec57_png.rf.35e8ea765cfc7e9e6b2fb098c3d8cec5.jpg
"On a rugged basalt rock, a single Antimora microlepis displays a dark, elongated body against the textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/0119ae5f-0b36-48c1-875a-bb37907cec57_png.rf.b421d4719a83c3705e2a9f918d4061c6.jpg
"On a rugged basalt rock, a single Antimora microlepis displays a dark, elongated body against the textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/0119ae5f-0b36-48c1-875a-bb37907cec57_png.rf.82ac256b7c75cb007d9bc7af61782d42.jpg
"On a rugged basalt rock, a single Peniagone rests among the crevices, with fine textures contrasting against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/014885ae-6715-4485-b59c-2f2bbae53cd7_png.rf.7da5408f3d95046d4766a1837a787368.jpg
"On a rugged basalt rock, a single Peniagone rests among the crevices, with fine textures contrasting against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/014885ae-6715-4485-b59c-2f2bbae53cd7_png.rf.dfe4b9e4df814b218d11a8a94719b771.jpg
"On a rugged basalt rock, a single Peniagone rests among the crevices, with fine textures contrasting against the dark substrate.",src/data/Fathomnet-by-Phylum-2/train/images/014885ae-6715-4485-b59c-2f2bbae53cd7_png.rf.a50ee966eea63655e276f80eae11323a.jpg
"Textured, dark rock substrate features sparse Munnopsidae, exhibiting a pale coloration against the surrounding deep-sea environment.",src/data/Fathomnet-by-Phylum-2/train/images/01f4b828-a8b8-413a-81fb-018fafe28074_png.rf.6a74cfd9a481e46f3a265f1e074e70c9.jpg
"Textured, dark rock substrate features sparse Munnopsidae, exhibiting a pale coloration against the surrounding deep-sea environment.",src/data/Fathomnet-by-Phylum-2/train/images/01f4b828-a8b8-413a-81fb-018fafe28074_png.rf.7f1b8f1336da8a44fbfbd8a851b270a3.jpg
"Textured, dark rock substrate features sparse Munnopsidae, exhibiting a pale coloration against the surrounding deep-sea environment.",src/data/Fathomnet-by-Phylum-2/train/images/01f4b828-a8b8-413a-81fb-018fafe28074_png.rf.61ded43592e28fbb76d20c72d7cd8979.jpg
"Across a fine silt seafloor, three brittle stars (Ophiuroidea) and a large sea urchin (Cystechinus giganteus) are observed.",src/data/Fathomnet-by-Phylum-2/train/images/04d688a8-3307-4091-be68-88e5cd809629_png.rf.13a3baa3aca29ca2f077adf886c0fc87.jpg
"Across a fine silt seafloor, three brittle stars (Ophiuroidea) and a large sea urchin (Cystechinus giganteus) are observed.",src/data/Fathomnet-by-Phylum-2/train/images/04d688a8-3307-4091-be68-88e5cd809629_png.rf.69c847b64dde51659d1854c82d0c0dda.jpg
"Across a fine silt seafloor, three brittle stars (Ophiuroidea) and a large sea urchin (Cystechinus giganteus) are observed.",src/data/Fathomnet-by-Phylum-2/train/images/04d688a8-3307-4091-be68-88e5cd809629_png.rf.c2ea3c2dfa2dc440652c9a77f58a63a2.jpg
"Translucent Bathyraja abyssicola rests on a sandy seafloor, showcasing its flat body and long, slender tail against a backdrop of fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/0632ef53-e09f-4b0e-96f7-2a87d0816b76_png.rf.2cd2a7b1c24c8e134681df7524122234.jpg
"Translucent Bathyraja abyssicola rests on a sandy seafloor, showcasing its flat body and long, slender tail against a backdrop of fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/0632ef53-e09f-4b0e-96f7-2a87d0816b76_png.rf.bf192cc1df0ae8ff80d168861b998fcf.jpg
"Translucent Bathyraja abyssicola rests on a sandy seafloor, showcasing its flat body and long, slender tail against a backdrop of fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/0632ef53-e09f-4b0e-96f7-2a87d0816b76_png.rf.ab0e8c5c878a00fa864f285996165a27.jpg
"Translucent Chrysogorgia extends from a rocky crevice, contrasting against the textured gray substrate of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/06bd1304-4450-4eca-bc8a-8329365da0c4_png.rf.5a65ddafab861050ad87c2f2c0c2dda8.jpg
"Translucent Chrysogorgia extends from a rocky crevice, contrasting against the textured gray substrate of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/06bd1304-4450-4eca-bc8a-8329365da0c4_png.rf.eb16df505e076183a0389dcbf6ff08f8.jpg
"Translucent Chrysogorgia extends from a rocky crevice, contrasting against the textured gray substrate of the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/06bd1304-4450-4eca-bc8a-8329365da0c4_png.rf.b437686db914a9e33d133c958e88b1fb.jpg
"On a rugged basalt rock, a single Holothuroidea rests among the crevices, blending with the dark, textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/072a0020-bf83-4edb-99e9-cbd0f4f01c41_png.rf.ebc6b48a907f353d244e50c42673cc87.jpg
"On a rugged basalt rock, a single Holothuroidea rests among the crevices, blending with the dark, textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/072a0020-bf83-4edb-99e9-cbd0f4f01c41_png.rf.2a35a357d0bd4b0f2b4080321960137d.jpg
"On a rugged basalt rock, a single Holothuroidea rests among the crevices, blending with the dark, textured surface.",src/data/Fathomnet-by-Phylum-2/train/images/072a0020-bf83-4edb-99e9-cbd0f4f01c41_png.rf.a8e4491ca0ec2834841c6a73aeb63692.jpg
"A yellow starfish rests on a rocky seafloor, surrounded by textured boulders and patches of dark silt.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_png.rf.2474c0371458cd51400f9f13431c725f.jpg
"A yellow starfish rests on a rocky seafloor, surrounded by textured boulders and patches of dark silt.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_png.rf.85deda421269e04d32c87450a9e797b8.jpg
"A yellow starfish rests on a rocky seafloor, surrounded by textured boulders and patches of dark silt.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_png.rf.ca1fe03279231798f890d5d3051c2a26.jpg
"Across a rocky seafloor, various sediment textures are visible, with dark patches contrasting against lighter sandy areas.",src/data/Fathomnet-by-Phylum-2/train/images/0a1a27a9-31b6-4649-b11d-142ec5490985_png.rf.36030994c5f41c145a609c123404648f.jpg
"Across a rocky seafloor, various sediment textures are visible, with dark patches contrasting against lighter sandy areas.",src/data/Fathomnet-by-Phylum-2/train/images/0a1a27a9-31b6-4649-b11d-142ec5490985_png.rf.956f9e98f65ea9dd3b92500325f2e99a.jpg
"Across a rocky seafloor, various sediment textures are visible, with dark patches contrasting against lighter sandy areas.",src/data/Fathomnet-by-Phylum-2/train/images/0a1a27a9-31b6-4649-b11d-142ec5490985_png.rf.84b1d02a43195baf4ad08e69f44e5391.jpg
"A pale Hymenaster starfish rests on a rocky seafloor, surrounded by dark silt and textured geological formations.",src/data/Fathomnet-by-Phylum-2/train/images/0c448dd3-51bb-478c-b1db-a8ac617cf7b5_png.rf.58a34c7d41660723428aaecb79ba62e4.jpg
